N,Sect,Year,Mo,Da,Ho,Mi,Se,EpicentralArea,MainRef,TLDef,LatDef,LonDef,DepDef,IoDef,TIoDef,MwDef,ErMwDef,TMwDef,RefM,MdpN,Imax,LatM,LonM,ErrLatM,ErrLonM,TepiM,Io,MwM,ErMwM,TMwM,RefIns,LatIns,LonIns,DepIns,MwIns,ErMwIns,TMwIns,RefMwIns,EqID,CPTI11id
2211,MA,1918,01,22,19,39,,Corazzano,MOLAL008,MM,43.621,10.868,,5,bx,4.16,0.46,Mdm,MOLAL008,5,6,43.621,10.868,,,bx0,5,4.16,0.46,bxi,,,,,,,,,19180122_1939_000,1758
2212,MA,1918,02,08,18,49,,Appennino forlivese,POST985,PC,44.133,12.100,,5-6,pc,4.84,0.18,InsC,,,,,,,,,,,,,,,,,4.84,0.18,Pry_msmb,MARAL993,19180208_1849_000,1759
2213,MA,1918,02,19,11,03,11.68,Costa croata settentrionale,SANAL014,II,45.360,14.840,2.0,,,4.62,0.23,InsC,,,,,,,,,,,,,SANAL014,45.360,14.840,2.0,4.62,0.23,Pry_msmb,MARAL993,19180219_1103_000,1760
2214,MA,1918,03,05,00,55,,Valli di Lanzo,SISFR014,MM,45.136,7.215,,4,bx,3.70,0.46,Mdm,SISFR014,2,5,45.136,7.215,11.4,12.7,bx0,4,3.70,0.46,bxi,,,,,,,,,19180305_0055_000,
2215,MA,1918,03,22,04,43,20.00,Alta Valtiberina,MOLAL008,MM,43.335,12.254,,4,bx,4.13,0.50,Mdm,MOLAL008,7,5,43.335,12.254,14.6,6.0,bx0,4,4.13,0.50,bxn,,,,,,,,,19180322_0443_000,1761
2216,MA,1918,04,14,01,56,,Monti Martani,AMGNDT995,MM,42.855,12.548,,6,bx,4.48,0.27,Mdm,AMGNDT995,21,6-7,42.855,12.548,3.3,4.2,bx0,6,4.48,0.27,bxn,,,,,,,,,19180414_0156_000,1762
2217,MA,1918,04,24,14,21,,Lecchese,AMGNDT995,MM,45.813,9.457,,6,bx,4.95,0.12,Wmim,AMGNDT995,34,6,45.813,9.457,3.8,3.5,bx4,6,4.74,0.24,bxn,,,,,5.04,0.15,Pry_msmb,MARAL993,19180424_1421_000,1763
2218,MA,1918,05,06,08,05,,Reggiano,CFTI4med,MM,44.691,10.630,,5-6,bx,4.41,0.56,Mdm,CFTI4med,8,6,44.691,10.630,0.8,0.1,bx0,5-6,4.41,0.56,bxn,,,,,,,,,19180506_0805_000,1764
2219,EV,1918,06,03,21,45,,Etna - Biancavilla,AZZAL000,MM,37.655,14.851,,6,dm,3.19,0.32,MIo,AZZAL000,5,6,37.655,14.851,1.3,1.5,bx0,,,,,,,,,,,,,19180603_2145_000,1765
2220,MA,1918,07,16,11,49,56.00,Slovenia centrale,ZIVC009,PC,46.130,14.850,,5,pc,4.16,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19180716_1149_000,
2221,MA,1918,07,19,19,03,,Mantovano,AMGNDT995,MM,45.326,10.438,,4,bx,4.06,0.38,Mdm,AMGNDT995,8,4,45.326,10.438,15.8,3.4,bx0,4,4.06,0.38,bxn,,,,,,,,,19180719_1903_000,1766
2222,MA,1918,08,13,20,01,,Slovenia occidentale,ZIVC009,PC,46.000,14.020,,6,pc,4.63,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19180813_2001_000,1767
2223,MA,1918,09,26,00,17,,Tirol. Holzgau,ZAMG010,PC,47.300,10.300,,5,pc,4.16,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19180926_0016_000,1768
2224,MA,1918,09,28,17,34,,Val di Susa,SISFR014,MM,45.138,7.100,,4-5,bx,3.93,0.46,Mdm,SISFR014,4,5,45.138,7.100,0.2,3.8,bx0,4-5,3.93,0.46,bxi,,,,,,,,,19180928_1734_000,
2225,MA,1918,11,06,20,30,,Alta Carniola,ZIVC009,PC,46.170,14.370,,5,pc,4.16,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19181106_2030_000,
2226,MA,1918,11,10,15,12,28.00,Appennino forlivese,CFTI4med,MM,43.917,11.933,,9,bx,5.96,0.08,Wmim,CFTI4med,187,9,43.917,11.933,3.2,1.8,bx0,9,6.00,0.10,bxn,,,,,5.88,0.15,Pry_msmb,MARAL993,19181110_1512_000,1769
2227,MA,1918,11,24,13,38,,Trenta,AMGNDT995,MM,39.283,16.321,,5,bx,4.16,0.46,Mdm,AMGNDT995,2,6,39.283,16.321,,,bx0,5,4.16,0.46,bxi,,,,,,,,,19181124_1338_000,1770
2228,EV,1918,11,24,13,39,,Etna - S. Venerina,AZZAL000,MM,37.686,15.139,,6-7,bx,3.47,0.33,MIo,AZZAL000,1,6-7,37.686,15.139,,,bx0,6-7,3.47,0.33,IoV1,,,,,,,,,19181124_1339_000,1771
2229,EV,1918,11,26,00,00,,Etna - Area sommitale,AZZAL000,MM,37.740,14.997,,6,bx,3.19,0.31,MIo,AZZAL000,1,D,37.740,14.997,,,bx0,6,3.19,0.31,IoV1,,,,,,,,,19181126_0000_000,1772
2230,EV,1918,11,26,09,00,,Etna - Area sommitale,AZZAL000,MM,37.740,14.997,,6,bx,3.19,0.31,MIo,AZZAL000,1,D,37.740,14.997,,,bx0,6,3.19,0.31,IoV1,,,,,,,,,19181126_0900_000,1773
2231,MA,1918,12,03,10,42,,Calabria centrale,POST985,PC,38.600,16.050,,5-6,pc,4.40,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19181203_1042_000,1774
2232,MA,1919,02,13,02,20,,Lago Trasimeno,AMGNDT995,MM,43.112,12.287,,6,bx,4.64,0.40,Mdm,AMGNDT995,18,D,43.112,12.287,1.7,0.6,bx0,6,4.64,0.40,bxn,,,,,,,,,19190213_0220_000,1775
2233,MA,1919,03,18,14,17,,Messina,MOLAL008,MM,38.178,15.485,,5,bx,4.16,0.46,Mdm,MOLAL008,2,5-6,38.178,15.485,0.7,6.2,bx0,5,4.16,0.46,bxi,,,,,,,,,19190318_1417_000,1776
2234,MA,1919,04,20,06,32,,Marsica,MOLAL008,MM,42.065,13.668,,4-5,bx,4.11,0.36,Mdm,MOLAL008,11,4-5,42.065,13.668,5.1,9.1,bx0,4-5,4.11,0.36,bxn,,,,,,,,,19190420_0632_000,1777
2235,MA,1919,06,29,15,06,13.00,Mugello,CFTI4med,MM,43.957,11.482,,10,bx,6.38,0.08,Wmim,CFTI4med,565,10,43.957,11.482,1.7,0.8,bx0,10,6.43,0.10,bxn,,,,,6.26,0.17,Pry_msmb,MARAL993,19190629_1506_000,1778
2236,MA,1919,07,12,12,06,,Asolano,MOLAL008,MM,45.801,11.914,,4-5,bx,5.03,0.17,Wmim,MOLAL008,7,5-6,45.801,11.914,,,bx0,4-5,4.35,0.40,bxn,,,,,5.20,0.19,Pry_msmb,MARAL993,19190712_1206_000,1779
2237,MA,1919,09,10,16,57,,Val di Paglia,ENEL995,MM,42.793,11.788,,7-8,bx,5.36,0.11,Wmim,ENEL995,67,8,42.793,11.788,3.8,2.1,bx0,7-8,5.31,0.16,bxn,,,,,5.42,0.16,Pry_msmb,MARAL993,19190910_1657_000,1780
2238,MA,1919,09,16,02,18,37.00,Alta Valtellina,ECOS-09,PC,46.450,9.933,,4-5,pc,3.50,0.50,Mpc,MOLAL008,10,5,,,,,,,,,,,,,,,,,,19190916_0215_000,1781
2239,MA,1919,09,25,03,15,,Frignano,MOLAL008,MM,44.090,10.584,,4,bx,3.70,0.46,Mdm,MOLAL008,7,5,44.090,10.584,9.6,6.3,bx0,4,3.70,0.46,bxi,,,,,,,,,19190925_0315_000,1782
2240,MA,1919,10,21,00,24,,Gargano,AMGNDT995,MM,41.674,15.551,,5-6,bx,5.03,0.13,Wmim,AMGNDT995,24,6,41.674,15.551,9.8,13.7,bx0,5-6,4.81,0.38,bxn,,,,,5.06,0.15,Pry_msmb,MARAL993,19191021_0024_000,1783
2241,MA,1919,10,22,06,10,,Anzio,TERAL003,MM,41.436,12.535,,6-7,bx,5.22,0.08,Wmim,TERAL003,142,7,41.436,12.535,4.7,2.9,bx4,6-7,5.05,0.11,bxn,,,,,5.55,0.15,Pry_msmb,MARAL993,19191022_0610_000,1784
2242,MA,1919,10,25,13,51,,Alta Valtiberina,CASAL996,MM,43.571,12.132,,6,bx,5.03,0.11,Wmim,CASAL996,30,6,43.571,12.132,5.3,2.5,bx0,6,4.80,0.24,bxn,,,,,5.12,0.14,Pry_msmb,MARAL993,19191025_1351_000,1785
2243,EV,1919,11,09,17,06,,Etna - Fossa Dell'Acqua (Acireale),AZZAL000,MM,37.610,15.142,,5-6,bx,2.91,0.30,MIo,AZZAL000,10,5-6,37.610,15.142,1.0,0.4,bx0,5-6,2.91,0.30,IoV1,,,,,,,,,19191109_1706_000,1786
2244,MA,1919,11,16,04,25,47.00,Vallese. Sion,ECOS-09,PC,46.283,7.317,,5,pc,3.90,0.50,Mpc,,,,,,,,,,,,,,,,,,,,,19191116_0425_000,1787
2245,MA,1919,11,23,01,50,,Bresciano,AMGNDT995,MM,45.655,10.246,,4,bx,4.79,0.20,Wmim,AMGNDT995,9,4-5,45.655,10.246,5.8,8.5,bx0,4,3.92,0.39,bxn,,,,,5.15,0.25,Pry_msmb,MARAL993,19191123_0150_000,1788
2246,MA,1919,11,28,21,38,,Alpi Marittime,AMGNDT995,MM,44.173,7.760,,5-6,bx,4.92,0.14,Wmim,AMGNDT995,24,5-6,44.173,7.760,5.2,14.2,bx0,5-6,4.53,0.28,bxn,,,,,5.06,0.17,Pry_msmb,MARAL993,19191128_2138_000,1789
2247,MA,1919,12,04,21,,,Anzio,CFTI4med,MM,41.455,12.646,,5,bx,4.16,0.46,Mdm,CFTI4med,2,5,41.455,12.646,0.4,1.5,bx0,5,4.16,0.46,bxi,,,,,,,,,19191204_2100_000,
2248,MA,1919,12,22,17,04,,Carinthia. Viktring,ZAMG010,PC,46.590,14.270,,5,pc,4.16,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19191222_1704_000,
2249,MA,1919,12,30,02,40,,Anzio,CFTI4med,MM,41.459,12.663,,5-6,bx,4.40,0.46,Mdm,CFTI4med,1,5-6,41.459,12.663,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,19191230_0240_000,1790
2250,MA,1920,01,13,10,35,45.00,Tornimparte,MOLAL008,MM,42.290,13.301,,4-5,bx,3.93,0.46,Mdm,MOLAL008,3,5-6,42.290,13.301,,,bx0,4-5,3.93,0.46,bxi,,,,,,,,,19200113_1035_000,1791
2251,MA,1920,01,27,04,38,,Valle del Crati,MOLAL008,MM,39.341,16.305,,4-5,bx,3.93,0.46,Mdm,MOLAL008,5,5-6,39.341,16.305,6.4,1.4,bx0,4-5,3.93,0.46,bxi,,,,,,,,,19200127_0438_000,1792
2252,MA,1920,02,10,23,57,,Monti Sibillini,MOLAL008,MM,42.837,13.439,,5,bx,4.30,0.39,Mdm,MOLAL008,18,5-6,42.837,13.439,6.4,7.9,bx0,5,4.30,0.39,bxn,,,,,,,,,19200210_2357_000,1793
2253,MA,1920,03,07,19,21,48.00,Avigliano,MOLAL008,MM,40.760,15.692,,4-5,bx,3.93,0.46,Mdm,MOLAL008,8,5,40.760,15.692,3.3,2.1,bx0,4-5,3.93,0.46,bxi,,,,,,,,,19200307_1921_000,1794
2254,MA,1920,03,30,01,04,14.00,Vallese. Sierre,ECOS-09,PC,46.300,7.500,,5,pc,3.90,0.50,Mpc,,,,,,,,,,,,,,,,,,,,,19200330_0104_000,1795
2255,MA,1920,05,05,14,41,,Carnia,BARAL990,MM,46.384,13.144,,6-7,bx,5.27,0.13,Wmim,BARAL990,35,6-7,46.384,13.144,2.6,5.3,bx0,6-7,4.88,0.25,bxn,,,,,5.43,0.16,Pry_msmb,MARAL993,19200505_1441_000,1796
2256,MA,1920,05,29,19,12,30.00,Adriatico centrale,HERA995,PC,43.000,16.000,,,,,,,,,,,,,,,,,,,,,,,,,,,19200529_1912_000,1797
2257,MA,1920,06,08,16,13,,Appennino forlivese,MOLAL008,MM,43.997,11.879,,5-6,bx,4.54,0.18,Wmim,MOLAL008,19,5-6,43.997,11.879,4.0,2.7,bx0,5-6,4.45,0.31,bxn,,,,,4.60,0.23,Pry_msmb,MARAL993,19200608_1613_000,1798
2258,MA,1920,06,21,07,22,,Val Comino,DEMO980,MM,41.621,13.748,,5,bx,4.62,0.16,Wmim,DEMO980,21,5,41.621,13.748,4.6,3.9,bx0,5,4.24,0.22,bxn,,,,,5.12,0.25,Pry_msmb,MARAL993,19200621_0722_000,"1799,1800"
2259,MA,1920,07,11,17,27,20.00,Tirreno meridionale,BCIS,II,40.000,14.000,,,,,,,,,,,,,,,,,,,BCIS,40.000,14.000,,,,,,19200711_1727_000,1801
2260,MA,1920,09,06,14,05,24.00,Garfagnana,POST985,PC,44.250,10.283,,6,pc,5.61,0.14,InsC,,,,,,,,,,,,,,,,,5.61,0.14,Pry_msmb,MARAL993,19200906_1405_000,1802
2261,MA,1920,09,07,05,55,40.00,Garfagnana,CFTI4med,MM,44.185,10.278,,10,bx,6.53,0.08,Wmim,CFTI4med,750,10,44.185,10.278,2.2,7.4,bx0,10,6.56,0.10,bxn,,,,,6.47,0.17,Pry_msmb,MARAL993,19200907_0555_000,1803
2262,MA,1920,09,07,08,10,,Garfagnana,POST985,PC,44.250,10.283,,6,pc,5.18,0.16,InsC,,,,,,,,,,,,,,,,,5.18,0.16,Pry_msmb,MARAL993,19200907_0810_000,1804
2263,MA,1920,09,07,13,32,20.00,Garfagnana,POST985,PC,44.250,10.283,,5,pc,5.05,0.24,InsC,,,,,,,,,,,,,,,,,5.05,0.24,Pry_msmb,MARAL993,19200907_1332_000,1805
2264,MA,1920,09,07,18,42,43.00,Garfagnana,POST985,PC,44.317,10.283,,6,pc,4.62,0.23,InsC,,,,,,,,,,,,,,,,,4.62,0.23,Pry_msmb,MARAL993,19200907_1842_000,1806
2265,EV,1920,09,26,02,56,,Etna - Codavolpe (S. Venerina),AZZAL000,MM,37.713,15.161,,7-8,dm,4.03,0.36,MIo,AZZAL000,15,7-8,37.713,15.161,,,dm,7-8,4.03,0.36,IoV1,,,,,,,,,19200926_0256_000,1807
2266,MA,1920,10,06,22,47,,Mantovano,CFTI4med,MM,45.126,10.824,,4-5,bx,4.14,0.42,Mdm,CFTI4med,19,5,45.126,10.824,8.7,5.6,bx0,4-5,4.14,0.42,bxn,,,,,,,,,19201006_2247_000,
2267,MA,1920,11,24,04,20,,Senese,MOLAL008,MM,43.366,11.538,,4-5,bx,4.07,0.30,Mdm,MOLAL008,15,5-6,43.366,11.538,8.3,5.7,bx0,4-5,4.07,0.30,bxn,,,,,,,,,19201124_0420_000,1808
2268,MA,1920,12,12,03,10,,Tirol. Solbad Hall,ZAMG010,PC,47.280,11.510,,5,pc,4.16,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19201212_0310_000,
2269,MA,1920,12,27,16,19,,Garfagnana,MOLAL008,MM,44.159,10.192,,4,bx,3.70,0.46,Mdm,MOLAL008,4,5,44.159,10.192,9.2,10.5,bx0,4,3.70,0.46,bxi,,,,,,,,,19201227_1619_000,1809
2270,EV,1921,01,21,17,28,,Etna - Versante orientale,AZZAL000,MM,37.692,15.104,,5,bx,2.63,0.29,MIo,AZZAL000,1,5,37.692,15.104,,,bx0,5,2.63,0.29,IoV1,,,,,,,,,19210121_1728_000,
2271,MA,1921,04,05,17,40,,Appennino umbro-marchigiano,MOLAL008,MM,43.203,12.774,,5,bx,4.23,0.41,Mdm,MOLAL008,10,5,43.203,12.774,6.8,9.1,bx0,5,4.23,0.41,bxn,,,,,,,,,19210405_1740_000,1810
2272,MA,1921,05,03,08,23,17.00,Massif de l'Oisans ?,SISFR014,MM,44.841,6.750,,4,bx,3.70,0.46,Mdm,SISFR014,4,5,44.841,6.750,6.5,9.2,bx0,4,3.70,0.46,bxi,,,,,,,,,19210503_0823_000,1811
2273,MA,1921,05,07,06,15,,Lunigiana,ENEL988,MM,44.377,9.882,,6,bx,4.64,0.40,Mdm,ENEL988,19,7,44.377,9.882,,,bx0,6,4.64,0.40,bxn,,,,,,,,,19210507_0615_000,1812
2274,MA,1921,06,19,12,52,40.00,Calabria meridionale,MOLAL008,MM,38.321,15.955,,5,bx,4.43,0.36,Mdm,MOLAL008,13,5-6,38.321,15.955,2.5,5.2,bx0,5,4.43,0.36,bxn,,,,,,,,,19210619_1252_000,1813
2275,EV,1921,07,24,00,00,,Etna - Area sommitale,AZZAL000,MM,37.740,14.997,,6,bx,3.19,0.31,MIo,AZZAL000,1,D,37.740,14.997,,,bx0,6,3.19,0.31,IoV1,,,,,,,,,19210724_0000_000,1814
2276,MA,1921,08,04,06,50,,Tirol. Bschlabs,ZAMG010,PC,47.310,10.580,,5,pc,4.16,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19210804_0650_000,
2277,MA,1921,08,23,22,36,05.00,Mignano Monte Lungo,MOLAL008,MM,41.405,13.983,,4,bx,3.70,0.46,Mdm,MOLAL008,2,5,41.405,13.983,,,bx0,4,3.70,0.46,bxi,,,,,,,,,19210823_2236_000,1815
2278,MA,1921,08,28,10,45,,Monti Sibillini,AMGNDT995,MM,43.120,13.253,,7,bx,4.66,0.40,Mdm,AMGNDT995,12,7,43.120,13.253,4.1,1.9,bx0,7,4.66,0.40,bxn,,,,,,,,,19210828_1045_000,1816
2279,MA,1921,09,12,00,25,,Asolano,AMGNDT995,MM,45.771,11.768,,3-4,bx,4.81,0.21,Wmim,AMGNDT995,3,4,45.771,11.768,1.8,5.9,bx0,3-4,3.46,0.46,bxi,,,,,5.22,0.25,Pry_msmb,MARAL993,19210912_0025_000,1817
2280,MA,1921,11,29,12,04,,Val di Taro,AMGNDT995,MM,44.634,9.703,,4,bx,4.15,0.32,Mdm,AMGNDT995,10,5,44.634,9.703,16.2,20.5,bx4,4,4.15,0.32,bxn,,,,,,,,,19211129_1204_000,1818
2281,MA,1921,12,13,06,30,,Steiermark. Stuhlfelden,ZAMG010,PC,47.290,12.530,,5-6,pc,4.40,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19211213_0630_000,
2282,MA,1922,03,27,00,10,,Monti Volsini,ENEL995,MM,42.684,11.865,,5-6,bx,4.39,0.38,Mdm,ENEL995,9,5-6,42.684,11.865,0.6,2.1,bx0,5-6,4.39,0.38,bxn,,,,,,,,,19220327_0010_000,1819
2283,MA,1922,04,05,16,28,,Basse-Provence,SISFR014,MM,43.695,6.750,,5,bx,4.48,0.35,Mdm,SISFR014,9,5,43.695,6.750,8.6,0.8,bx0,5,4.48,0.35,bxn,,,,,,,,,19220405_1628_000,
2284,MA,1922,05,24,21,17,25.00,Ferrarese,CFTI4med,MM,44.821,11.408,,4,bx,3.70,0.46,Mdm,CFTI4med,7,4-5,44.821,11.408,11.1,4.0,bx0,4,3.70,0.46,bxi,,,,,,,,,19220524_2117_000,1820
2285,MA,1922,06,08,07,47,,Valle del Chienti,MONA987,MM,43.148,13.286,,6,bx,4.73,0.19,Mdm,MONA987,47,6-7,43.148,13.286,6.0,4.7,bx0,6,4.73,0.19,bxn,,,,,,,,,19220608_0747_000,1821
2286,MA,1922,08,02,21,13,,Frignano,MOLAL008,MM,44.146,10.686,,5,bx,4.32,0.28,Mdm,MOLAL008,21,5-6,44.146,10.686,5.1,4.3,bx0,5,4.32,0.28,bxn,,,,,,,,,19220802_2113_000,1822
2287,MA,1922,10,11,06,43,42.00,Costa anconetana,MOLAL008,MM,43.628,13.407,,5,bx,4.34,0.28,Mdm,MOLAL008,20,5-6,43.628,13.407,0.7,4.7,bx0,5,4.34,0.28,bxn,,,,,,,,,19221011_0643_000,1823
2288,MA,1922,11,08,10,28,41.74,Tirol. Innsbruck,SANAL014,II,47.270,11.170,,,,,,,,,,,,,,,,,,,SANAL014,47.270,11.170,,,,,,19221108_1028_000,1824
2289,MA,1922,12,29,12,22,06.00,Val Roveto,MOLAL999a,MM,41.793,13.632,,6-7,bx,5.24,0.08,Wmim,MOLAL999a,119,6-7,41.793,13.632,5.5,3.7,bx0,6-7,5.05,0.10,bxn,,,,,5.66,0.14,Pry_msmb,MARAL993,19221229_1222_000,1825
2290,MA,1923,05,13,14,30,59.00,Valle del Salto,MOLAL008,MM,42.210,13.220,,5,bx,4.33,0.31,Mdm,MOLAL008,21,5-6,42.210,13.220,11.6,12.3,bx0,5,4.33,0.31,bxn,,,,,,,,,19230513_1430_000,1827
2291,EV,1923,06,17,00,06,,Etna - Piedimonte Etneo,AZZAL000,MM,37.807,15.177,,5-6,bx,2.91,0.30,MIo,AZZAL000,1,5-6,37.807,15.177,,,bx0,5-6,2.91,0.30,IoV1,,,,,,,,,19230617_0006_000,1828
2292,EV,1923,06,17,15,45,,Etna - Milo,AZZAL000,MM,37.722,15.116,,6-7,bx,3.47,0.33,MIo,AZZAL000,3,5-6,37.722,15.116,,,bx0,6-7,3.47,0.33,IoV1,,,,,,,,,19230617_1545_000,1829
2293,EV,1923,06,23,01,47,,Etna - Piano Api (Acireale),AZZAL000,MM,37.628,15.144,,5-6,dm,2.91,0.30,MIo,AZZAL000,3,5-6,37.628,15.144,,,dm,5-6,2.91,0.30,IoV1,,,,,,,,,19230623_0147_000,1830
2294,EV,1923,06,23,21,15,,Etna - Piano Api (Acireale),AZZAL000,MM,37.629,15.143,,5-6,dm,2.91,0.30,MIo,AZZAL000,3,5-6,37.629,15.143,,,dm,5-6,2.91,0.30,IoV1,,,,,,,,,19230623_2115_000,1831
2295,MA,1923,06,28,15,12,,Modenese,AMGNDT995,MM,44.595,10.799,,6,bx,5.04,0.12,Wmim,AMGNDT995,22,6,44.595,10.799,3.4,5.4,bx0,6,4.55,0.28,bxn,,,,,5.18,0.15,Pry_msmb,MARAL993,19230628_1512_000,1832
2296,MA,1923,07,12,20,49,,Marche meridionali,MOLAL008,MM,43.103,13.463,,5,bx,4.28,0.30,Mdm,MOLAL008,20,5-6,43.103,13.463,6.3,9.5,bx0,5,4.28,0.30,bxn,,,,,,,,,19230712_2049_000,1833
2297,MA,1923,08,15,15,58,,Ljubljana,ZIVC009,PC,46.120,14.550,,5,pc,4.16,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19230815_1558_000,
2298,MA,1923,08,16,12,50,,Stretto di Messina,MOLAL008,MM,38.178,15.485,,4-5,bx,3.93,0.46,Mdm,MOLAL008,4,5-6,38.178,15.485,0.7,6.2,bx0,4-5,3.93,0.46,bxi,,,,,,,,,19230816_1250_000,1834
2299,MA,1923,08,23,02,30,,Slovenia nord-occidentale,ZIVC009,PC,46.470,13.750,,5,pc,4.16,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19230823_0230_000,
2300,MA,1923,09,11,04,23,,Briançonnais,SISFR014,MM,44.900,6.633,,4,bx,3.70,0.46,Mdm,SISFR014,2,5,44.900,6.633,,,bx0,4,3.70,0.46,bxi,,,,,,,,,19230910_0423_000,1835
2301,MA,1923,10,18,00,55,,Istria settentrionale,ZIVC009,PC,45.500,14.250,,6,pc,4.63,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19231018_0055_000,1836
2302,MA,1923,11,08,12,28,,Appennino campano-lucano,AMGNDT995,MM,40.677,15.449,,6,bx,4.73,0.26,Mdm,AMGNDT995,28,6,40.677,15.449,6.4,6.2,bx0,6,4.73,0.26,bxn,,,,,,,,,19231108_1228_000,1837
2303,MA,1923,11,09,13,22,,Ticino. Bellinzona,ECOS-09,PC,46.220,9.000,,5,pc,4.30,0.50,Mpc,,,,,,,,,,,,,,,,,,,,,19231109_1322_000,
2304,EV,1923,11,15,20,00,,Etna - Piedimonte Etneo,AZZAL000,MM,37.747,15.158,,6-7,dm,3.47,0.33,MIo,AZZAL000,14,5-6,37.747,15.158,,,dm,6-7,3.47,0.33,IoV1,,,,,,,,,19231115_2000_000,1838
2305,MA,1924,01,02,08,55,13.00,Senigallia,CFTI4med,MM,43.737,13.138,,7-8,bx,5.48,0.09,Wmim,CFTI4med,76,7-8,43.737,13.138,1.8,2.6,bx0,7-8,5.31,0.14,bxn,,,,,5.66,0.14,Pry_msmb,MARAL993,19240102_0855_000,1839
2306,MA,1924,01,24,02,22,45.00,Mare di Corsica,ISS,II,41.700,8.500,,,,,,,,,,,,,,,,,,,ISS,41.700,8.500,,,,,,19240124_0222_000,1840
2307,MA,1924,02,27,05,41,,Ljubljana,ZIVC009,PC,45.950,14.400,,5,pc,4.16,0.46,MIo,,,,,,,,,,,,,,,,,,,,,19240227_0541_000,
2308,MA,1924,03,26,17,08,04.85,Tirolo,SANAL014,II,46.930,11.320,1.0,,,5.16,0.16,InsC,MOLAL008,2,3,,,,,,,,,,SANAL014,46.930,11.320,1.0,5.16,0.16,Pry_msmb,MARAL993,19240326_1708_000,1841
2309,MA,1924,03,26,20,50,,Sannio,AMGNDT995,MM,41.341,14.786,,4,bx,4.06,0.34,Mdm,AMGNDT995,12,5,41.341,14.786,9.5,9.7,bx0,4,4.06,0.34,bxn,,,,,,,,,19240326_2050_000,1842
2310,MA,1924,04,09,14,49,,Val di Paglia,ENEL995,MM,42.729,11.816,,5-6,bx,4.47,0.43,Mdm,ENEL995,7,5-6,42.729,11.816,2.1,2.5,bx0,5-6,4.47,0.43,bxn,,,,,,,,,19240409_1449_000,1843
2311,MA,1924,04,11,07,18,14.00,Adriatico centrale,BCIS,II,42.500,15.500,,,,,,,,,,,,,,,,,,,BCIS,42.500,15.500,,,,,,19240411_0718_000,1844
2312,MA,1924,04,15,12,50,,Vallese. Brig,ECOS-09,PC,46.300,7.960,,7,pc,5.20,0.20,Mpc,,,,,,,,,,,,,,,,,5.20,0.20,Swa,BENAL005,19240415_1250_000,1845
2313,MA,1924,05,09,05,48,,Irpinia,AMGNDT995,MM,40.893,14.772,,4,bx,4.71,0.20,Wmim,AMGNDT995,8,4-5,40.893,14.772,5.3,20.3,bx0,4,3.83,0.42,bxn,,,,,5.00,0.24,Pry_msmb,MARAL993,19240509_0548_000,1846
2314,MA,1924,05,12,08,46,,Carnia,IAMO978,MI,46.409,12.912,,6,bx,5.04,0.12,Wmim,IAMO978,20,6-7,46.409,12.912,0.6,4.9,bx0,6,4.85,0.30,bxn,SANAL014,46.460,12.850,27.0,5.09,0.14,Pry_msmb,MARAL993,19240512_0846_000,1847
2315,MA,1924,05,21,15,32,,Alpi Retiche,STAL988,MI,46.617,10.546,,5-6,bx,4.58,0.56,Mdm,STAL988,14,6,46.617,10.546,6.2,5.7,bx0,5-6,4.58,0.56,bxn,SANAL014,46.820,10.350,2.0,,,,,19240521_1532_000,1848
2316,MA,1924,06,12,21,03,48.00,Frignano,MOLAL008,MM,44.147,10.776,,5-6,bx,4.46,0.26,Mdm,MOLAL008,25,5-6,44.147,10.776,7.0,4.2,bx0,5-6,4.46,0.26,bxn,,,,,,,,,19240612_2103_000,1849
2317,MA,1924,08,14,02,18,,Bauges,SISFR014,MM,45.695,6.267,,5,bx,4.47,0.33,Mdm,SISFR014,10,5,45.695,6.267,7.1,4.7,bx0,5,4.47,0.33,bxn,,,,,,,,,19240814_0218_000,
2318,MA,1924,08,17,21,40,,Monti Iblei,AMGNDT995,MM,37.132,14.879,,5,bx,4.74,0.17,Wmim,AMGNDT995,22,5-6,37.132,14.879,7.5,12.4,bx0,5,4.44,0.26,bxn,,,,,5.00,0.24,Pry_msmb,MARAL993,19240817_2140_000,1850
2319,MA,1924,09,15,02,30,,Monti Reatini,MOLAL008,MM,42.517,12.841,,4-5,bx,3.66,0.29,Mdm,MOLAL008,15,5-6,42.517,12.841,0.4,0.5,bx0,4-5,3.66,0.29,bxn,,,,,,,,,19240915_0230_000,1851
2320,MA,1924,09,21,20,18,,Genovese,MOLAL008,MM,44.366,8.994,,5,bx,4.32,0.39,Mdm,MOLAL008,11,5,44.366,8.994,7.7,5.4,bx4,5,4.32,0.39,bxn,,,,,,,,,19240921_2018_000,1852
