N,Sect,Year,Mo,Da,Ho,Mi,Se,EpicentralArea,MainRef,TLDef,LatDef,LonDef,DepDef,IoDef,TIoDef,MwDef,ErMwDef,TMwDef,RefM,MdpN,Imax,LatM,LonM,ErrLatM,ErrLonM,TepiM,Io,MwM,ErMwM,TMwM,RefIns,LatIns,LonIns,DepIns,MwIns,ErMwIns,TMwIns,RefMwIns,EqID,CPTI11id
3748,MA,1994,11,02,00,16,40.70,Costa croata settentrionale,HERA995,PC,45.055,14.799,,5,pc,4.06,0.33,InsC,,,,,,,,,,,,,,,,,4.06,0.33,Pry_ml,CSTI1.1,19941102_0016_000,2865
3749,MA,1994,11,27,07,26,27.62,Isole Eolie,ISC,II,38.382,14.845,19.3,,,4.08,0.21,InsC,,,,,,,,,,,,,ISC,38.382,14.845,19.3,4.08,0.21,Pry_ml,CSTI1.1,19941127_0726_000,
3750,MA,1994,12,14,08,55,59.30,Genevois,SIHEX015,IM,45.960,6.410,7.0,6,bx,4.68,0.07,Wmim,SISFR014,522,6,45.917,6.389,1.9,1.1,bx0,6,4.79,0.10,bxn,SIHEX015,45.960,6.410,7.0,4.51,0.13,Pry_mlmsmb,CSTI1.1.ISC,19941214_0855_000,2866
3751,MA,1995,01,04,00,47,02.28,Val Chisone,CSTI1.1,IM,44.869,7.318,10.3,5,bx,3.73,0.14,Wmim,BMING999b,35,5-6,44.952,7.242,3.4,8.7,bx0,5,4.13,0.21,bxn,CSTI1.1,44.869,7.318,10.4,3.33,0.21,Pry_ml,CSTI1.1,19950104_0047_000,
3752,CA,1995,01,24,06,53,05.48,Tirreno meridionale,ISC,II,39.603,14.256,297.1,,,4.07,0.23,InsC,,,,,,,,,,,,,ISC,39.603,14.256,297.1,4.07,0.23,Pry_msmb,ISC,19950124_0653_000,
3753,MA,1995,02,01,20,24,06.96,Val di Pesa,CSTI1.1,II,43.663,11.182,10.0,,,4.93,0.33,InsC,,,,,,,,,,,,,CSTI1.1,43.663,11.182,10.0,4.93,0.33,Pry_ml,CSTI1.1,19950201_2024_000,
3754,EV,1995,02,10,08,15,45.00,Etna - Versante occidentale,PATAL004,IM,37.705,14.969,10.4,5,dm,4.31,0.37,InsC,AZZAL000,18,4,37.662,15.003,,,dm,5,2.63,0.29,IoV1,PATAL004,37.705,14.969,10.4,4.31,0.37,Pry_mdml,PATAL004,19950210_0815_000,
3755,MA,1995,03,03,16,16,40.02,Lunigiana,CSTI1.1,IM,44.366,10.006,13.0,5,bx,4.20,0.11,Wmim,BMING999b,43,5,44.308,10.050,4.7,4.7,bx0,5,4.20,0.18,bxn,CSTI1.1,44.366,10.006,13.0,4.21,0.15,Pry_mlmsmb,CSTI1.1.ISC,19950303_1616_000,2867
3756,MA,1995,03,08,08,55,08.58,Ionio meridionale,CSTI1.1,II,37.815,15.552,8.7,,,4.06,0.16,InsC,,,,,,,,,,,,,CSTI1.1,37.815,15.552,8.7,4.06,0.16,Pry_mlmsmb,CSTI1.1.ISC,19950308_0855_000,
3757,MA,1995,03,22,20,34,12.50,Catanzarese,CSTI1.1,IM,38.922,16.408,9.5,5-6,bx,3.49,0.19,Wmim,BMING999b,12,5-6,38.903,16.416,3.6,2.4,bx0,5-6,4.18,0.46,bxn,CSTI1.1,38.922,16.408,9.6,3.35,0.21,Pry_ml,CSTI1.1,19950322_2034_000,
3758,MA,1995,04,11,12,06,51.62,Sicilia centrale,CSTI1.1,IM,37.625,13.858,24.0,3-4,bx,4.03,0.13,Wmim,BMING999b,43,3-4,37.847,13.761,,,bx0,3-4,3.46,0.46,bxi,CSTI1.1,37.625,13.858,24.0,4.08,0.14,Pry_mlmsmb,CSTI1.1.ISC,19950411_1206_000,
